Molecular/Biological/Cellular Ontology Terms: 

GO:0043565      sequence-specific DNA binding                                                                                            ['Klf4', 'Ascl1', 'Foxp2', 'Mef2c']     
GO:0051259      protein complex oligomerization                                                                                          ['Adcy8']                               
GO:0060166      olfactory pit development                                                                                                ['Ascl1']                               
GO:0009566      fertilization                                                                                                            ['Ooep']                                
GO:0070374      positive regulation of ERK1 and ERK2 cascade                                                                             ['Igf1', 'Prkca']                       
GO:0016829      lyase activity                                                                                                           ['Adcy8']                               
R-MMU-1266738   Developmental Biology                                                                                                    ['Prkcq', 'Siah2', 'St8sia2', 'Prkca', 'Mef2c']
R-MMU-399721    Glutamate binding, activation of AMPA receptors and synaptic plasticity                                                  ['Gria1', 'Prkca']                      
GO:0003231      cardiac ventricle development                                                                                            ['Fgf9']                                
R-MMU-5218921   VEGFR2 mediated cell proliferation                                                                                       ['Prkca']                               
GO:0043010      camera-type eye development                                                                                              ['Foxp2']                               
GO:0021902      commitment of neuronal cell to specific neuron type in forebrain                                                         ['Ascl1']                               
GO:0006066      alcohol metabolic process                                                                                                ['Itpk1', 'Inpp1']                      
GO:0043537      negative regulation of blood vessel endothelial cell migration                                                           ['Mef2c']                               
GO:0030949      positive regulation of vascular endothelial growth factor receptor signaling pathway                                     ['Fgf9']                                
GO:0060174      limb bud formation                                                                                                       ['Wnt3']                                
GO:0006886      intracellular protein transport                                                                                          ['Snx13']                               
GO:0005975      carbohydrate metabolic process                                                                                           ['St6galnac5', 'St6gal2', 'St8sia2']    
GO:0005923      bicellular tight junction                                                                                                ['Pard3b']                              
GO:1905931      negative regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching           ['Fgf9']                                
GO:0009306      protein secretion                                                                                                        ['Cbln4', 'Tvp23b']                     
GO:0030173      integral component of Golgi membrane                                                                                     ['Tvp23b']                              
R-MMU-375276    Peptide ligand-binding receptors                                                                                         ['Mc4r']                                
GO:0015871      choline transport                                                                                                        ['Slc44a5']                             
R-MMU-1474244   Extracellular matrix organization                                                                                        ['Tgfb3', 'Prkca']                      
GO:0050852      T cell receptor signaling pathway                                                                                        ['Cd276']                               
GO:0008593      regulation of Notch signaling pathway                                                                                    ['Prag1', 'Ascl1']                      
GO:0046039      GTP metabolic process                                                                                                    ['Gtpbp1']                              
GO:0046434      organophosphate catabolic process                                                                                        ['Inpp1']                               
GO:0050650      chondroitin sulfate proteoglycan biosynthetic process                                                                    ['Igf1']                                
GO:0035984      cellular response to trichostatin A                                                                                      ['Mef2c']                               
GO:0000287      magnesium ion binding                                                                                                    ['Itpk1', 'Prpsap2']                    
GO:0048745      smooth muscle tissue development                                                                                         ['Foxp2']                               
GO:0007275      multicellular organism development                                                                                       ['Siah2', 'Emx2', 'Ascl1', 'Fgf9', 'Wnt3', 'Hopx', 'Flrt1', 'Nrp2', 'Mef2c']
GO:0005911      cell-cell junction                                                                                                       ['Flrt1', 'Gria1']                      
R-MMU-2179392   EGFR Transactivation by Gastrin                                                                                          ['Prkca']                               
GO:0007224      smoothened signaling pathway                                                                                             ['Fgf9', 'Rb1']                         
GO:0016887      ATP hydrolysis activity                                                                                                  ['Abcf3']                               
GO:0030544      Hsp70 protein binding                                                                                                    ['Cd24a']                               
R-MMU-111931    PKA-mediated phosphorylation of CREB                                                                                     ['Adcy8']                               
GO:1904315      transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential              ['Gria1']                               
GO:1903428      positive regulation of reactive oxygen species biosynthetic process                                                      ['Adgrb1']                              
GO:0043406      positive regulation of MAP kinase activity                                                                               ['Cd24a', 'Mef2c']                      
GO:0071315      cellular response to morphine                                                                                            ['Adcy8']                               
GO:0150079      negative regulation of neuroinflammatory response                                                                        ['Igf1']                                
GO:0062009      secondary palate development                                                                                             ['Tgfb3']                               
GO:1990837      sequence-specific double-stranded DNA binding                                                                            ['Emx2', 'Klf4', 'Ascl1', 'Zbtb43', 'Mef2c']
GO:0008021      synaptic vesicle                                                                                                         ['Gria1']                               
GO:0035914      skeletal muscle cell differentiation                                                                                     ['Rb1', 'Mef2c']                        
GO:0043161      proteasome-mediated ubiquitin-dependent protein catabolic process                                                        ['Siah2', 'Fbxl19']                     
GO:0030246      carbohydrate binding                                                                                                     ['Cd24a']                               
GO:0098688      parallel fiber to Purkinje cell synapse                                                                                  ['Unc13c']                              
R-MMU-1483257   Phospholipid metabolism                                                                                                  ['Slc44a5']                             
R-MMU-109582    Hemostasis                                                                                                               ['Prkcq', 'Tgfb3', 'Igf1', 'Itpk1', 'Carmil1', 'Prkca']
GO:0016740      transferase activity                                                                                                     ['Hs3st3a1', 'Prkcq', 'Hs3st3b1', 'Siah2', 'Hunk', 'Trim8', 'Tmtc4', 'St6galnac5', 'Gal3st3', 'Itpk1', 'Cdk19', 'Pdzrn3', 'March4', 'St6gal2', 'Ube2z', 'St8sia2', 'Cdkl5', 'Prkca', 'Stk40']
GO:0007268      chemical synaptic transmission                                                                                           ['Gabrr1', 'Shisa8', 'Gria1', 'Unc13c'] 
GO:0032809      neuronal cell body membrane                                                                                              ['Adcy8', 'Flrt1', 'Gria1']             
GO:0007346      regulation of mitotic cell cycle                                                                                         ['Ascl1', 'Rb1']                        
R-MMU-5689880   Ub-specific processing proteases                                                                                         ['Siah2']                               
R-MMU-450531    Regulation of mRNA stability by proteins that bind AU-rich elements                                                      ['Prkca']                               
GO:0061549      sympathetic ganglion development                                                                                         ['Ascl1', 'Nrp2']                       
GO:0051129      negative regulation of cellular component organization                                                                   ['Bcl11a']                              
GO:0045785      positive regulation of cell adhesion                                                                                     ['Prkca']                               
GO:0004741      [pyruvate dehydrogenase (lipoamide)] phosphatase activity                                                                ['Pdp2']                                
GO:0002467      germinal center formation                                                                                                ['Mef2c']                               
GO:0071889      14-3-3 protein binding                                                                                                   ['Ripor2']                              
GO:0051898      negative regulation of protein kinase B signaling                                                                        ['Klf4']                                
GO:0044351      macropinocytosis                                                                                                         ['Carmil1']                             
GO:0097490      sympathetic neuron projection extension                                                                                  ['Nrp2']                                
GO:0014033      neural crest cell differentiation                                                                                        ['Mef2c']                               
GO:0051213      dioxygenase activity                                                                                                     ['Cdo1']                                
GO:0046985      positive regulation of hemoglobin biosynthetic process                                                                   ['Klf4']                                
GO:0048018      receptor ligand activity                                                                                                 ['Wnt3', 'Igf1']                        
R-MMU-9013423   RAC3 GTPase cycle                                                                                                        ['Arhgap42', 'Erbin']                   
GO:0042098      T cell proliferation                                                                                                     ['Cd276']                               
GO:0032717      negative regulation of interleukin-8 production                                                                          ['Klf4']                                
GO:0030968      endoplasmic reticulum unfolded protein response                                                                          ['Tmtc4']                               
GO:0007265      Ras protein signal transduction                                                                                          ['Rapgef5']                             
GO:0046325      negative regulation of glucose import                                                                                    ['Prkca']                               
GO:0014898      cardiac muscle hypertrophy in response to stress                                                                         ['Mef2c']                               
GO:0050877      nervous system process                                                                                                   ['Gabrr1']                              
GO:0034392      negative regulation of smooth muscle cell apoptotic process                                                              ['Igf1']                                
GO:0030659      cytoplasmic vesicle membrane                                                                                             ['Tbc1d4']                              
GO:0001894      tissue homeostasis                                                                                                       ['Rb1']                                 
GO:1903998      regulation of eating behavior                                                                                            ['Mc4r']                                
GO:0005126      cytokine receptor binding                                                                                                ['Tgfb3']                               
GO:0000070      mitotic sister chromatid segregation                                                                                     ['Tubg2']                               
GO:0048488      synaptic vesicle endocytosis                                                                                             ['Cd24a']                               
R-MMU-73857     RNA Polymerase II Transcription                                                                                          ['Lmo1', 'Zfp120', 'Zfp386', 'Scaf1']   
GO:0001775      cell activation                                                                                                          ['Igf1', 'Cd24a']                       
GO:0030178      negative regulation of Wnt signaling pathway                                                                             ['Fgf9', 'Lzic']                        
R-MMU-112043    PLC beta mediated events                                                                                                 ['Adcy8', 'Prkca']                      
GO:1902017      regulation of cilium assembly                                                                                            ['Cdkl5']                               
GO:0097492      sympathetic neuron axon guidance                                                                                         ['Mef2c']                               
GO:0043410      positive regulation of MAPK cascade                                                                                      ['Tgfb3', 'Fgf9', 'Igf1']               
GO:0031698      beta-2 adrenergic receptor binding                                                                                       ['Gria1']                               
GO:0019005      SCF ubiquitin ligase complex                                                                                             ['Fbxl19']                              
GO:0032526      response to retinoic acid                                                                                                ['Klf4']                                
R-MMU-5654716   Downstream signaling of activated FGFR4                                                                                  ['Fgf9']                                
GO:2001107      negative regulation of Rho guanyl-nucleotide exchange factor activity                                                    ['Ripor2']                              
GO:0006869      lipid transport                                                                                                          ['Slco3a1']                             
GO:0017148      negative regulation of translation                                                                                       ['Prkca']                               
GO:0045662      negative regulation of myoblast differentiation                                                                          ['Cxcl14']                              
GO:0017156      calcium-ion regulated exocytosis                                                                                         ['Rims4', 'Unc13c']                     
GO:0030307      positive regulation of cell growth                                                                                       ['Igf1', 'Cdkn2aip']                    
GO:0004180      carboxypeptidase activity                                                                                                ['Cndp2']                               
GO:1905123      regulation of glucosylceramidase activity                                                                                ['Scarb2']                              
GO:0021955      central nervous system neuron axonogenesis                                                                               ['Prkca']                               
GO:0044308      axonal spine                                                                                                             ['Gria1']                               
GO:0110053      regulation of actin filament organization                                                                                ['Carmil1']                             
GO:0030837      negative regulation of actin filament polymerization                                                                     ['Tmsb15b2']                            
GO:0048484      enteric nervous system development                                                                                       ['Ascl1']                               
GO:0051879      Hsp90 protein binding                                                                                                    ['Cd24a']                               
R-MMU-190322    FGFR4 ligand binding and activation                                                                                      ['Fgf9']                                
GO:0060510      type II pneumocyte differentiation                                                                                       ['Igf1']                                
GO:0010033      response to organic substance                                                                                            ['Klf4']                                
GO:0009311      oligosaccharide metabolic process                                                                                        ['St6galnac5', 'St6gal2', 'St8sia2']    
GO:0099527      postsynapse to nucleus signaling pathway                                                                                 ['Cabp1']                               
GO:0033143      regulation of intracellular steroid hormone receptor signaling pathway                                                   ['Igf1']                                
GO:0010467      gene expression                                                                                                          ['Klf4', 'Tgfb3', 'Pcbp3', 'Fgf9', 'Foxp2', 'Wnt3', 'Fam172a', 'Bcl11a', 'Scarb2', 'Mef2c']
GO:0048706      embryonic skeletal system development                                                                                    ['Fgf9']                                
GO:0042113      B cell activation                                                                                                        ['Hdac9']                               
GO:0003016      respiratory system process                                                                                               ['Stk40']                               
GO:0014740      negative regulation of muscle hyperplasia                                                                                ['Klf4']                                
GO:1904355      positive regulation of telomere capping                                                                                  ['Prkcq']                               
GO:0033622      integrin activation                                                                                                      ['Cd24a']                               
GO:2001237      negative regulation of extrinsic apoptotic signaling pathway                                                             ['Siah2', 'Igf1']                       
R-MMU-392499    Metabolism of proteins                                                                                                   ['Adamtsl1', 'Siah2', 'Fbxl19', 'St6galnac5', 'Igf1', 'St6gal2', 'Ube2z', 'St8sia2', 'Gria1']
R-MMU-9013149   RAC1 GTPase cycle                                                                                                        ['Arhgap42', 'Erbin']                   
GO:2000311      regulation of AMPA receptor activity                                                                                     ['Shisa8', 'Mef2c']                     
GO:0033630      positive regulation of cell adhesion mediated by integrin                                                                ['Cd24a']                               
GO:0097110      scaffold protein binding                                                                                                 ['Gria1']                               
GO:0032420      stereocilium                                                                                                             ['Ripor2']                              
GO:0031915      positive regulation of synaptic plasticity                                                                               ['Adcy8']                               
GO:0051117      ATPase binding                                                                                                           ['Tmtc4']                               
GO:0032495      response to muramyl dipeptide                                                                                            ['Erbin']                               
GO:0031017      exocrine pancreas development                                                                                            ['Igf1']                                
GO:0006477      protein sulfation                                                                                                        ['Hs3st3b1']                            
GO:0032502      developmental process                                                                                                    ['Unc13c']                              
GO:0055012      ventricular cardiac muscle cell differentiation                                                                          ['Mef2c']                               
GO:0010631      epithelial cell migration                                                                                                ['D1Ertd622e']                          
GO:2000243      positive regulation of reproductive process                                                                              ['Fgf9']                                
R-MMU-74259     Purine catabolism                                                                                                        ['Nudt9']                               
GO:0008285      negative regulation of cell population proliferation                                                                     ['Klf4', 'Tgfb3', 'Igf1', 'Rb1', 'Prkca']
GO:0042308      negative regulation of protein import into nucleus                                                                       ['Cabp1']                               
GO:0043388      positive regulation of DNA binding                                                                                       ['Igf1']                                
GO:0019899      enzyme binding                                                                                                           ['Tspan5', 'Cap2', 'Wdr70', 'Rb1', 'Prkca', 'Scarb2']
GO:0008360      regulation of cell shape                                                                                                 ['Prag1']                               
GO:0060170      ciliary membrane                                                                                                         ['Cd24a']                               
GO:0005802      trans-Golgi network                                                                                                      ['March4']                              
GO:0048679      regulation of axon regeneration                                                                                          ['Klf4']                                
GO:0001764      neuron migration                                                                                                         ['Emx2', 'Cdkl5', 'Nrp2', 'Mef2c']      
R-MMU-2559584   Formation of Senescence-Associated Heterochromatin Foci (SAHF)                                                           ['Rb1']                                 
GO:0000172      ribonuclease MRP complex                                                                                                 ['Rpp25']                               
GO:0034115      negative regulation of heterotypic cell-cell adhesion                                                                    ['Klf4']                                
R-MMU-112040    G-protein mediated events                                                                                                ['Adcy8', 'Prkca']                      
GO:0032591      dendritic spine membrane                                                                                                 ['Shisa8', 'Gria1']                     
GO:2000391      positive regulation of neutrophil extravasation                                                                          ['Ripor2']                              
R-MMU-69202     Cyclin E associated events during G1/S transition                                                                        ['Rb1']                                 
GO:0090031      positive regulation of steroid hormone biosynthetic process                                                              ['Igf1']                                
GO:0003682      chromatin binding                                                                                                        ['Sfmbt2', 'Ascl1', 'Zfp386', 'Ctbp2', 'Tle4', 'Mef2c']
GO:0051052      regulation of DNA metabolic process                                                                                      ['Wdr70']                               
GO:0048788      cytoskeleton of presynaptic active zone                                                                                  ['Rims4']                               
GO:0071625      vocalization behavior                                                                                                    ['Foxp2']                               
GO:0030224      monocyte differentiation                                                                                                 ['Mef2c']                               
GO:0008543      fibroblast growth factor receptor signaling pathway                                                                      ['Fgf9', 'Flrt1']                       
GO:0021530      spinal cord oligodendrocyte cell fate specification                                                                      ['Ascl1']                               
GO:0032597      B cell receptor transport into membrane raft                                                                             ['Cd24a']                               
GO:0006909      phagocytosis                                                                                                             ['Adgrb1']                              
R-MMU-3700989   Transcriptional Regulation by TP53                                                                                       ['Scaf1']                               
R-MMU-190242    FGFR1 ligand binding and activation                                                                                      ['Fgf9']                                
GO:0045666      positive regulation of neuron differentiation                                                                            ['Ascl1', 'Mef2c']                      
GO:0043652      engulfment of apoptotic cell                                                                                             ['Adgrb1']                              
GO:0046013      regulation of T cell homeostatic proliferation                                                                           ['Lmo1']                                
GO:0050714      positive regulation of protein secretion                                                                                 ['Prkcq', 'Tgfb3', 'Igf1']              
GO:0097484      dendrite extension                                                                                                       ['Tmem108']                             
R-MMU-5654693   FRS-mediated FGFR1 signaling                                                                                             ['Fgf9']                                
R-MMU-380270    Recruitment of mitotic centrosome proteins and complexes                                                                 ['Tubg2']                               
R-MMU-1483206   Glycerophospholipid biosynthesis                                                                                         ['Slc44a5']                             
GO:0042382      paraspeckles                                                                                                             ['Bcl11a']                              
GO:0140013      meiotic nuclear division                                                                                                 ['Tubg2']                               
GO:1903375      facioacoustic ganglion development                                                                                       ['Nrp2']                                
GO:0004427      inorganic diphosphate phosphatase activity                                                                               ['Lhpp']                                
GO:0006796      phosphate-containing compound metabolic process                                                                          ['Lhpp']                                
GO:0052726      inositol-1,3,4-trisphosphate 5-kinase activity                                                                           ['Itpk1']                               
GO:1904075      positive regulation of trophectodermal cell proliferation                                                                ['Igf1']                                
R-MMU-597592    Post-translational protein modification                                                                                  ['Adamtsl1', 'Siah2', 'Fbxl19', 'St6galnac5', 'St6gal2', 'Ube2z', 'St8sia2', 'Gria1']
GO:0036484      trunk neural crest cell migration                                                                                        ['Nrp2']                                
GO:0046641      positive regulation of alpha-beta T cell proliferation                                                                   ['Cd24a']                               
GO:0031252      cell leading edge                                                                                                        ['Carmil1']                             
GO:0051721      protein phosphatase 2A binding                                                                                           ['Adcy8']                               
GO:0060163      subpallium neuron fate commitment                                                                                        ['Ascl1']                               
GO:0005261      cation channel activity                                                                                                  ['Gria1']                               
GO:0008146      sulfotransferase activity                                                                                                ['Hs3st3a1', 'Hs3st3b1', 'Gal3st3']     
GO:0098831      presynaptic active zone cytoplasmic component                                                                            ['Ctbp2', 'Unc13c']                     
GO:0051726      regulation of cell cycle                                                                                                 ['Ripor2', 'Rb1']                       
R-MMU-168256    Immune System                                                                                                            ['Nfam1', 'Prkcq', 'Siah2', 'Fbxl19', 'Ube2z']
GO:0045843      negative regulation of striated muscle tissue development                                                                ['Hdac9']                               
GO:0001502      cartilage condensation                                                                                                   ['Sox5']                                
GO:0005788      endoplasmic reticulum lumen                                                                                              ['Wnt3']                                
GO:0038032      termination of G protein-coupled receptor signaling pathway                                                              ['Rgs12']                               
GO:0001725      stress fiber                                                                                                             ['Tmsb15b2']                            
GO:0090050      positive regulation of cell migration involved in sprouting angiogenesis                                                 ['Hdac9']                               
GO:0048646      anatomical structure formation involved in morphogenesis                                                                 ['Wnt3']                                
GO:0061629      RNA polymerase II-specific DNA-binding transcription factor binding                                                      ['Klf4', 'Hdac9', 'Rb1', 'Mef2c']       
R-MMU-202424    Downstream TCR signaling                                                                                                 ['Prkcq']                               
GO:1901166      neural crest cell migration involved in autonomic nervous system development                                             ['Nrp2']                                
GO:0045780      positive regulation of bone resorption                                                                                   ['Mc4r', 'Prkca']                       
R-MMU-1855183   Synthesis of IP2, IP, and Ins in the cytosol                                                                             ['Inpp1']                               
R-MMU-525793    Myogenesis                                                                                                               ['Mef2c']                               
GO:0035014      phosphatidylinositol 3-kinase regulator activity                                                                         ['Klf4']                                
GO:0060088      auditory receptor cell stereocilium organization                                                                         ['Ripor2']                              
GO:0015031      protein transport                                                                                                        ['Snx13', 'D1Ertd622e']                 
R-MMU-399710    Activation of AMPA receptors                                                                                             ['Gria1']                               
R-MMU-5694530   Cargo concentration in the ER                                                                                            ['Gria1']                               
GO:0072197      ureter morphogenesis                                                                                                     ['Emx2']                                
GO:0003085      negative regulation of systemic arterial blood pressure                                                                  ['Arhgap42']                            
GO:0021779      oligodendrocyte cell fate commitment                                                                                     ['Ascl1']                               
GO:0006469      negative regulation of protein kinase activity                                                                           ['Rb1', 'Prkca']                        
GO:0071459      protein localization to chromosome, centromeric region                                                                   ['Rb1']                                 
GO:1902430      negative regulation of amyloid-beta formation                                                                            ['Igf1']                                
GO:0060078      regulation of postsynaptic membrane potential                                                                            ['Gria1']                               
GO:0006024      glycosaminoglycan biosynthetic process                                                                                   ['Hs3st3a1', 'Hs3st3b1']                
GO:0097542      ciliary tip                                                                                                              ['Cdkl5']                               
GO:0001665      alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity                                                       ['St6galnac5']                          
R-MMU-8868773   rRNA processing in the nucleus and cytosol                                                                               ['Rpp25']                               
R-MMU-112316    Neuronal System                                                                                                          ['Gabrr1', 'Adcy8', 'Gria1', 'Prkca']   
R-MMU-163685    Integration of energy metabolism                                                                                         ['Prkca']                               
GO:0005874      microtubule                                                                                                              ['Tubg2']                               
GO:0031528      microvillus membrane                                                                                                     ['Cd24a']                               
GO:0050660      flavin adenine dinucleotide binding                                                                                      ['Cry1']                                
GO:0098797      plasma membrane protein complex                                                                                          ['Shisa8', 'Gria1']                     
GO:0042995      cell projection                                                                                                          ['Adcy8', 'Rgs12', 'Ripor2', 'Lypd6', 'D1Ertd622e', 'Tmem108', 'Carmil1', 'Adgrb1', 'Flrt1', 'Gria1', 'Cdkl5', 'Unc13c']
R-MMU-72312     rRNA processing                                                                                                          ['Rpp25']                               
GO:0035235      ionotropic glutamate receptor signaling pathway                                                                          ['Shisa8']                              
GO:0002053      positive regulation of mesenchymal cell proliferation                                                                    ['Fgf9', 'Foxp2']                       
R-MMU-195258    RHO GTPase Effectors                                                                                                     ['Prkca']                               
R-MMU-397014    Muscle contraction                                                                                                       ['Kcnk12']                              
GO:0048863      stem cell differentiation                                                                                                ['Prkca']                               
GO:0046032      ADP catabolic process                                                                                                    ['Nudt9']                               
GO:0008637      apoptotic mitochondrial changes                                                                                          ['Cd24a']                               
R-MMU-5654708   Downstream signaling of activated FGFR3                                                                                  ['Fgf9']                                
R-MMU-5654706   FRS-mediated FGFR3 signaling                                                                                             ['Fgf9']                                
GO:0050728      negative regulation of inflammatory response                                                                             ['Cd276', 'D1Ertd622e', 'Rb1']          
GO:2000405      negative regulation of T cell migration                                                                                  ['Ripor2']                              
R-MMU-450520    HuR (ELAVL1) binds and stabilizes mRNA                                                                                   ['Prkca']                               
GO:0097553      calcium ion transmembrane import into cytosol                                                                            ['Tmem28']                              
GO:0033634      positive regulation of cell-cell adhesion mediated by integrin                                                           ['Cd24a']                               
GO:2000768      positive regulation of nephron tubule epithelial cell differentiation                                                    ['Cd24a']                               
GO:1905872      negative regulation of protein localization to cell leading edge                                                         ['Ripor2']                              
R-MMU-611105    Respiratory electron transport                                                                                           ['Scaf1']                               
GO:0051966      regulation of synaptic transmission, glutamatergic                                                                       ['Mef2c']                               
